distribution,c_e,l_r,l_e,service_level,seed_id,b,DI_fix_Sr_cost,random_seed1,random_seed2
norm,0.5,2,1,0.95,0,3.5,2608.4910476267105,32,942
norm,0.5,2,1,0.975,0,3.5,3021.0121465420298,9680,3774
norm,0.5,2,1,0.99,0,3.5,3610.7058868702707,14,8077
norm,0.5,3,2,0.95,0,4.5,3110.986680637349,9197,9990
norm,0.5,3,2,0.975,0,4.5,3384.0634026215416,9733,8155
norm,0.5,3,2,0.99,0,4.5,4108.761853129224,4825,6782
norm,1.0,2,1,0.95,0,4.0,2746.8673305088264,3795,1530
norm,1.0,2,1,0.975,0,4.0,3187.0224519562043,4689,4940
norm,1.0,2,1,0.99,0,4.0,3439.786526543318,760,2055
norm,1.0,3,2,0.95,0,5.0,3275.2523493006165,779,7777
norm,1.0,3,2,0.975,0,5.0,3498.4306860496345,4868,5405
norm,1.0,3,2,0.99,0,5.0,4001.280090449472,6251,6644
norm,2.0,2,1,0.95,0,5.0,2631.401863945526,6218,4096
norm,2.0,2,1,0.975,0,5.0,3070.8806017470897,2167,2055
norm,2.0,2,1,0.99,0,5.0,3661.316224763396,779,7777
norm,2.0,3,2,0.95,0,6.0,3178.4155689661616,4868,5405
norm,2.0,3,2,0.975,0,6.0,3503.525536101384,6251,6644
norm,2.0,3,2,0.99,0,6.0,4281.347042966727,6218,4096
norm,3.0,2,1,0.95,0,6.0,2738.3621771486523,2167,2055
norm,3.0,2,1,0.975,0,6.0,3121.067448819889,779,7777
norm,3.0,2,1,0.99,0,6.0,3514.1566250947726,4868,5405
norm,3.0,3,2,0.95,0,7.0,3204.047106694244,6251,6644
norm,3.0,3,2,0.975,0,7.0,3712.8785066327814,6218,4096
norm,3.0,3,2,0.99,0,7.0,4054.959913814744,2167,2055
